[2023-04-10 20:51:25,894][classifier.py][line:184][INFO] Epoch:[116/500]	 loss=0.53188	 acc=0.926
[2023-04-10 20:51:25,901][classifier.py][line:184][INFO] Epoch:[117/500]	 loss=0.44913	 acc=0.926
[2023-04-10 20:51:25,909][classifier.py][line:184][INFO] Epoch:[118/500]	 loss=0.45703	 acc=0.926
[2023-04-10 20:51:25,916][classifier.py][line:184][INFO] Epoch:[119/500]	 loss=0.38321	 acc=0.963
[2023-04-10 20:51:25,923][classifier.py][line:184][INFO] Epoch:[120/500]	 loss=0.41559	 acc=0.926
[2023-04-10 20:51:25,931][classifier.py][line:184][INFO] Epoch:[121/500]	 loss=0.42767	 acc=0.926
[2023-04-10 20:51:25,938][classifier.py][line:184][INFO] Epoch:[122/500]	 loss=0.50383	 acc=0.963
[2023-04-10 20:51:25,945][classifier.py][line:184][INFO] Epoch:[123/500]	 loss=0.42963	 acc=1.000
[2023-04-10 20:51:25,953][classifier.py][line:184][INFO] Epoch:[124/500]	 loss=0.40820	 acc=0.963
[2023-04-10 20:51:25,960][classifier.py][line:184][INFO] Epoch:[125/500]	 loss=0.37983	 acc=1.000
[2023-04-10 20:51:25,968][classifier.py][line:184][INFO] Epoch:[126/500]	 loss=0.42003	 acc=0.963
[2023-04-10 20:51:25,975][classifier.py][line:184][INFO] Epoch:[127/500]	 loss=0.40499	 acc=0.963
[2023-04-10 20:51:25,982][classifier.py][line:184][INFO] Epoch:[128/500]	 loss=0.36800	 acc=0.963
[2023-04-10 20:51:25,990][classifier.py][line:184][INFO] Epoch:[129/500]	 loss=0.39263	 acc=0.963
[2023-04-10 20:51:25,997][classifier.py][line:184][INFO] Epoch:[130/500]	 loss=0.43370	 acc=0.926
[2023-04-10 20:51:26,004][classifier.py][line:184][INFO] Epoch:[131/500]	 loss=0.35393	 acc=0.963
[2023-04-10 20:51:26,012][classifier.py][line:184][INFO] Epoch:[132/500]	 loss=0.37896	 acc=0.926
[2023-04-10 20:51:26,019][classifier.py][line:184][INFO] Epoch:[133/500]	 loss=0.39114	 acc=0.963
[2023-04-10 20:51:26,026][classifier.py][line:184][INFO] Epoch:[134/500]	 loss=0.37721	 acc=0.963
[2023-04-10 20:51:26,034][classifier.py][line:184][INFO] Epoch:[135/500]	 loss=0.41802	 acc=1.000
[2023-04-10 20:51:26,041][classifier.py][line:184][INFO] Epoch:[136/500]	 loss=0.42633	 acc=0.963
[2023-04-10 20:51:26,049][classifier.py][line:184][INFO] Epoch:[137/500]	 loss=0.35401	 acc=1.000
[2023-04-10 20:51:26,056][classifier.py][line:184][INFO] Epoch:[138/500]	 loss=0.37479	 acc=0.963
[2023-04-10 20:51:26,063][classifier.py][line:184][INFO] Epoch:[139/500]	 loss=0.37203	 acc=1.000
[2023-04-10 20:51:26,071][classifier.py][line:184][INFO] Epoch:[140/500]	 loss=0.37116	 acc=1.000
[2023-04-10 20:51:26,078][classifier.py][line:184][INFO] Epoch:[141/500]	 loss=0.33713	 acc=1.000
[2023-04-10 20:51:26,086][classifier.py][line:184][INFO] Epoch:[142/500]	 loss=0.34251	 acc=1.000
[2023-04-10 20:51:26,093][classifier.py][line:184][INFO] Epoch:[143/500]	 loss=0.31068	 acc=1.000
[2023-04-10 20:51:26,100][classifier.py][line:184][INFO] Epoch:[144/500]	 loss=0.30545	 acc=1.000
[2023-04-10 20:51:26,108][classifier.py][line:184][INFO] Epoch:[145/500]	 loss=0.39713	 acc=0.963
[2023-04-10 20:51:26,115][classifier.py][line:184][INFO] Epoch:[146/500]	 loss=0.30886	 acc=0.963
[2023-04-10 20:51:26,122][classifier.py][line:184][INFO] Epoch:[147/500]	 loss=0.31421	 acc=0.963
[2023-04-10 20:51:26,130][classifier.py][line:184][INFO] Epoch:[148/500]	 loss=0.29166	 acc=1.000
[2023-04-10 20:51:26,137][classifier.py][line:184][INFO] Epoch:[149/500]	 loss=0.27842	 acc=1.000
[2023-04-10 20:51:26,144][classifier.py][line:184][INFO] Epoch:[150/500]	 loss=0.27840	 acc=1.000
[2023-04-10 20:51:26,152][classifier.py][line:184][INFO] Epoch:[151/500]	 loss=0.30116	 acc=1.000
[2023-04-10 20:51:26,159][classifier.py][line:184][INFO] Epoch:[152/500]	 loss=0.28090	 acc=1.000
[2023-04-10 20:51:26,167][classifier.py][line:184][INFO] Epoch:[153/500]	 loss=0.28112	 acc=1.000
[2023-04-10 20:51:26,174][classifier.py][line:184][INFO] Epoch:[154/500]	 loss=0.32479	 acc=1.000
[2023-04-10 20:51:26,181][classifier.py][line:184][INFO] Epoch:[155/500]	 loss=0.31828	 acc=1.000
[2023-04-10 20:51:26,189][classifier.py][line:184][INFO] Epoch:[156/500]	 loss=0.31749	 acc=1.000
[2023-04-10 20:51:26,196][classifier.py][line:184][INFO] Epoch:[157/500]	 loss=0.27024	 acc=1.000
